category,task_id,model,condition,energy_j,runtime_s,mem_mb
algorithms_computation,AC-010,gpt,ONE_SHOT,0.6452,0.0641,10.67578125
algorithms_computation,AC-011,claude,BUG_FIX,0.6526,0.0641,10.484375
algorithms_computation,AC-011,claude,FEATURE_ADDITION,0.6289,0.0641,10.734375
algorithms_computation,AC-011,claude,ONE_SHOT,0.5693,0.0641,10.59375
algorithms_computation,AC-011,deepseek,BUG_FIX,0.4116,0.0319,9.63671875
algorithms_computation,AC-011,deepseek,EDGE_CASE,0.4921,0.0639,9.75
algorithms_computation,AC-011,deepseek,FEATURE_ADDITION,0.4115,0.032,9.51171875
algorithms_computation,AC-011,deepseek,FULL_MULTI_TURN,1.3107,0.1644,18.3125
algorithms_computation,AC-011,deepseek,ONE_SHOT,0.3813,0.0319,9.38671875
algorithms_computation,AC-011,gemini,BUG_FIX,0.4546,0.0642,9.5625
algorithms_computation,AC-011,gemini,EDGE_CASE,0.5844,0.0643,10.359375
algorithms_computation,AC-011,gemini,FEATURE_ADDITION,0.6346,0.0641,10.4375
algorithms_computation,AC-011,gemini,ONE_SHOT,0.4709,0.0641,9.5078125
algorithms_computation,AC-011,gpt,BUG_FIX,0.541,0.0641,10.375
algorithms_computation,AC-011,gpt,EDGE_CASE,0.6329,0.0641,11.55859375
algorithms_computation,AC-011,gpt,FEATURE_ADDITION,0.6589,0.064,10.4375
algorithms_computation,AC-011,gpt,ONE_SHOT,0.5879,0.064,10.40234375
algorithms_computation,AC-012,claude,BUG_FIX,0.3522,0.032,9.67578125
algorithms_computation,AC-012,claude,EDGE_CASE,0.5769,0.064,10.55078125
algorithms_computation,AC-012,claude,FEATURE_ADDITION,0.3415,0.0319,9.63671875
algorithms_computation,AC-012,claude,ONE_SHOT,0.4916,0.0641,10.42578125
algorithms_computation,AC-012,deepseek,BUG_FIX,0.3701,0.032,9.6953125
algorithms_computation,AC-012,deepseek,EDGE_CASE,67.9491,7.5877,18.0078125
algorithms_computation,AC-012,deepseek,FEATURE_ADDITION,0.3631,0.0318,9.6875
algorithms_computation,AC-012,deepseek,ONE_SHOT,0.4052,0.0319,9.55078125
algorithms_computation,AC-012,gemini,BUG_FIX,0.4283,0.0641,9.38671875
algorithms_computation,AC-012,gemini,EDGE_CASE,0.4063,0.0641,9.65234375
algorithms_computation,AC-012,gemini,FEATURE_ADDITION,0.5351,0.0641,9.51171875
algorithms_computation,AC-012,gemini,FULL_MULTI_TURN,3.0832,0.3647,13.3359375
algorithms_computation,AC-012,gemini,ONE_SHOT,0.5021,0.032,9.38671875
algorithms_computation,AC-012,gpt,BUG_FIX,0.5791,0.064,10.38671875
algorithms_computation,AC-012,gpt,FEATURE_ADDITION,0.2889,0.0319,9.6484375
algorithms_computation,AC-012,gpt,FULL_MULTI_TURN,1.147,0.1643,13.26171875
algorithms_computation,AC-012,gpt,ONE_SHOT,0.533,0.064,10.421875
algorithms_computation,AC-013,claude,BUG_FIX,0.6554,0.0641,10.67578125
algorithms_computation,AC-013,claude,EDGE_CASE,0.4914,0.0641,11.05078125
algorithms_computation,AC-013,claude,FEATURE_ADDITION,0.6829,0.0641,11.05078125
algorithms_computation,AC-013,claude,FULL_MULTI_TURN,0.6633,0.0641,11.17578125
algorithms_computation,AC-013,claude,ONE_SHOT,0.5995,0.0641,10.67578125
algorithms_computation,AC-013,deepseek,BUG_FIX,0.2746,0.032,9.9375
algorithms_computation,AC-013,deepseek,FEATURE_ADDITION,1.0241,0.1144,10.8125
algorithms_computation,AC-013,deepseek,ONE_SHOT,0.2644,0.0321,9.6875
algorithms_computation,AC-013,gemini,BUG_FIX,0.6477,0.0641,10.55078125
algorithms_computation,AC-013,gemini,EDGE_CASE,0.4208,0.0641,9.5078125
algorithms_computation,AC-013,gemini,FEATURE_ADDITION,0.497,0.0641,9.6875
algorithms_computation,AC-013,gemini,FULL_MULTI_TURN,0.4691,0.0642,10.67578125
algorithms_computation,AC-013,gemini,ONE_SHOT,0.4,0.0321,9.61328125
algorithms_computation,AC-013,gpt,BUG_FIX,0.5517,0.0641,10.55078125
algorithms_computation,AC-013,gpt,EDGE_CASE,0.4941,0.064,10.92578125
algorithms_computation,AC-013,gpt,FEATURE_ADDITION,0.4863,0.064,10.67578125
algorithms_computation,AC-014,claude,BUG_FIX,0.6219,0.064,10.67578125
algorithms_computation,AC-014,claude,EDGE_CASE,0.741,0.0642,11.1171875
algorithms_computation,AC-014,claude,FEATURE_ADDITION,0.6037,0.0641,10.8046875
algorithms_computation,AC-014,claude,ONE_SHOT,0.5775,0.064,10.55078125
algorithms_computation,AC-014,deepseek,BUG_FIX,0.2832,0.0319,9.5
algorithms_computation,AC-014,deepseek,EDGE_CASE,0.5438,0.0641,11.11328125
algorithms_computation,AC-014,deepseek,FEATURE_ADDITION,0.2964,0.032,9.63671875
algorithms_computation,AC-014,deepseek,ONE_SHOT,0.2536,0.0319,9.6875
algorithms_computation,AC-014,gemini,BUG_FIX,0.4197,0.0641,9.51171875
algorithms_computation,AC-014,gemini,EDGE_CASE,0.5959,0.0642,10.67578125
algorithms_computation,AC-014,gemini,FEATURE_ADDITION,0.6062,0.0641,10.546875
algorithms_computation,AC-014,gemini,FULL_MULTI_TURN,0.5642,0.0642,9.93359375
algorithms_computation,AC-014,gemini,ONE_SHOT,0.5967,0.0644,10.67578125
algorithms_computation,AC-014,gpt,EDGE_CASE,0.5249,0.064,11.3671875
algorithms_computation,AC-014,gpt,ONE_SHOT,0.693,0.0641,10.83984375
algorithms_computation,AC-015,claude,BUG_FIX,0.7885,0.114,12.125
algorithms_computation,AC-015,claude,EDGE_CASE,1.1531,0.1146,16.5625
algorithms_computation,AC-015,claude,FEATURE_ADDITION,1.0081,0.1142,12.73046875
algorithms_computation,AC-015,claude,FULL_MULTI_TURN,1.0116,0.1142,12.546875
algorithms_computation,AC-015,claude,ONE_SHOT,0.4699,0.0321,10.18359375
algorithms_computation,AC-015,deepseek,BUG_FIX,0.805,0.1141,12.5703125
algorithms_computation,AC-015,deepseek,EDGE_CASE,0.7954,0.1143,13.05859375
algorithms_computation,AC-015,deepseek,FEATURE_ADDITION,0.6423,0.0641,12.4296875
algorithms_computation,AC-015,deepseek,FULL_MULTI_TURN,0.5751,0.0641,13.69140625
algorithms_computation,AC-015,deepseek,ONE_SHOT,0.5452,0.0641,10.90625
algorithms_computation,AC-015,gemini,BUG_FIX,0.6488,0.0644,10.67578125
algorithms_computation,AC-015,gemini,EDGE_CASE,0.4872,0.0641,10.55859375
algorithms_computation,AC-015,gemini,FEATURE_ADDITION,0.4486,0.0643,10.80078125
algorithms_computation,AC-015,gemini,FULL_MULTI_TURN,0.5825,0.064,11.03515625
algorithms_computation,AC-015,gemini,ONE_SHOT,0.6054,0.0641,10.80078125
algorithms_computation,AC-015,gpt,EDGE_CASE,0.5592,0.064,10.5703125
algorithms_computation,AC-015,gpt,FEATURE_ADDITION,0.5916,0.064,10.9375
algorithms_computation,AC-015,gpt,FULL_MULTI_TURN,0.605,0.064,10.74609375
algorithms_computation,AC-015,gpt,ONE_SHOT,0.6943,0.0642,13.11328125
file_data_processing,FD-001,claude,BUG_FIX,0.8663,0.1142,17.53515625
file_data_processing,FD-001,claude,EDGE_CASE,0.9106,0.1141,16.08203125
file_data_processing,FD-001,claude,FEATURE_ADDITION,0.9065,0.1142,16.07421875
file_data_processing,FD-001,claude,FULL_MULTI_TURN,2.1585,0.2144,16.625
file_data_processing,FD-001,claude,ONE_SHOT,1.8541,0.2145,19.04296875
file_data_processing,FD-001,deepseek,BUG_FIX,2.38,0.2644,14.05078125
file_data_processing,FD-001,deepseek,FULL_MULTI_TURN,3.2612,0.3647,14.59375
file_data_processing,FD-001,deepseek,ONE_SHOT,4.3335,0.465,14.0625
file_data_processing,FD-001,gemini,BUG_FIX,0.5811,0.0639,11.7421875
file_data_processing,FD-001,gemini,EDGE_CASE,0.6357,0.0641,12.15234375
file_data_processing,FD-001,gemini,FEATURE_ADDITION,0.5707,0.0641,12.234375
file_data_processing,FD-001,gemini,FULL_MULTI_TURN,0.6664,0.064,11.8671875
file_data_processing,FD-001,gemini,ONE_SHOT,0.5152,0.0641,11.796875
file_data_processing,FD-001,gpt,BUG_FIX,1.4186,0.1143,14.828125
file_data_processing,FD-001,gpt,FEATURE_ADDITION,1.23,0.1144,13.92578125
file_data_processing,FD-001,gpt,FULL_MULTI_TURN,3.0407,0.3647,15.41796875
file_data_processing,FD-001,gpt,ONE_SHOT,1.1558,0.1142,15.140625
file_data_processing,FD-002,claude,EDGE_CASE,0.9759,0.1142,13.48046875
file_data_processing,FD-002,claude,FEATURE_ADDITION,1.0264,0.1141,11.53515625
file_data_processing,FD-002,claude,FULL_MULTI_TURN,1.0367,0.1143,11.53515625
file_data_processing,FD-002,claude,ONE_SHOT,0.9845,0.1142,12.72265625
file_data_processing,FD-002,deepseek,BUG_FIX,0.8509,0.1143,11.64453125
file_data_processing,FD-002,deepseek,EDGE_CASE,1.104,0.1147,13.62109375
